"osm_id";"ref_insee"
-2707904;"245804539"
-145325;"24199"
-55291;"59050"
-116494;"63152"
-2740817;"51402"
-2446628;"11251"
-1642274;"121"
-153603;"02641"
-148130;"84018"
-11270;"50203"
-87604;"77163"
-2957097;"54476"
-953150;"70081"
-360106;"63375"
-1405150;"64487"
-2055196;"09051"
-104647;"38190"
-274305;"41121"
-722068;"95141"
-307862;"18094"
-287499;"62205"
-146004;"24340"
-2623261;"51333"
-115247;"95288"
-2721825;"240900498"
-1206577;"62722"
-1221111;"49356"
-2168485;"200000610"
-1456770;"31313"
-114635;"12283"
-2084441;"11356"
-368649;"67095"
-107432;"72002"
-2952613;"02590"
-122588;"46091"
-154375;"85019"
-3068947;"52059"
-132414;"86004"
-970872;"83070"
-916329;"55580"
-145006;"82158"
-1407944;"77041"
-86129;"44100"
-161202;"70020"
-58167;"59193"
-122783;"25614"
-149696;"79144"
-3061921;"43055"
-1162685;"57336"
-2554143;"65358"
-2116685;"64353"
-56113;"59263"
-447652;"15205"
-2918047;"62870"
-2935410;"19161"
-1115878;"58272"
-148677;"39233"
-152372;"70451"
-165250;"45123"
-154554;"17024"
-145363;"24111"
-1060229;"50382"
-152226;"02197"
-135634;"81261"
-54195;"59166"
-154064;"17005"
-215268;"77312"
-58187;"59124"
-1001400;"53122"
-2099811;"76461"
-105152;"38317"
-153723;"02820"
-133377;"32456"
-223616;"62105"
-132422;"59664"
-1334134;"80077"
-2828667;"89479"
-140911;"86211"
-1666956;"247200553"
-74000;"02487"
-2149793;"243800091"
-3226857;"2B029"
-659900;"79318"
-123374;"35159"
-282349;"97130"
-33364;"91044"
-152110;"21107"
-1643919;"595"
-139502;"21434"
-1236093;"27245"
-2838424;"03143"
-1346955;"80122"
-163144;"87169"
-146190;"25050"
-122852;"25284"
-941527;"88464"
-153824;"21656"
-2003386;"244500534"
-3061086;"43090"
-109781;"38135"
-2188825;"7510832"
-283994;"67093"
-151940;"21071"
-3059250;"47044"
-2774809;"51397"
-2754585;"2B072"
-3225633;"24338"
-1426653;"11271"
-52031;"11049"
-1646524;"37133"
-275318;"41056"
-417494;"51030"
-2827087;"03119"
-3227132;"24575"
-279240;"38513"
-297126;"74060"
-2417590;"54164"
-2716409;"242852424"
-120104;"03272"
-3255444;"24047"
-1571053;"06163"
-158853;"31467"
-153416;"17293"
-124212;"36127"
-445183;"42242"
-78214;"73264"
-1996028;"242200699"
-149648;"45037"
-193054;"50375"
-415231;"10360"
-106809;"57032"
-161898;"58279"
-83754;"68277"
-3004057;"10242"
-165707;"35098"
-1125875;"69167"
-78134;"11240"
-392340;"50110"
-155536;"39227"
-139199;"01229"
-71688;"26014"
-360417;"63044"
-2139059;"64537"
-357922;"63207"
-142276;"76236"
-908434;"78624"
-2930651;"19284"
-381064;"22352"
-255552;"34223"
-122585;"46090"
-402764;"77468"
-138688;"81238"
-1903391;"36204"
-56006;"59085"
-164068;"40053"
-2094736;"09111"
-139329;"86126"
-543311;"27298"
-133231;"32356"
-74343;"73239"
-3341848;"200035426"
-2703209;"62762"
-184037;"84106"
-1524597;"15257"
-139138;"01433"
-1692570;"575"
-1345819;"38208"
-128286;"73255"
